is_real,confidence,key_observations,reasoning,processing_time,image_path,actual_label,actual_is_real,is_real_prediction,real_probability,fake_probability
False,0.85,"['Smoothness and uniformity of skin texture', ""Unnatural blending in parts of the camel's fur"", 'Lighting and shadows seem too even and soft', 'Background lacks depth and detail']","The image exhibits characteristics common in AI-generated images, such as overly smooth skin and uniform lighting. The camel's fur has some unnatural blending, and the background looks artificially plain.",6.29478907585144,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_023.png,fake,0,False,0.15000000000000002,0.85
False,0.95,"['Brushstroke texture visible throughout image', 'Inconsistent detail in foliage and tree bark', 'Overall appearance resembles a painting', 'Lack of photographic detail and lighting', 'Smooth and uniform blending of colors']",The image displays characteristics of a painting rather than a photograph. The texture of brushstrokes and the artistic style indicate that it's not a real photo but an artwork.,7.103094100952148,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_011.jpg,real,1,False,0.050000000000000044,0.95
False,0.9,"['Unnaturally smooth textures on the wall and cabinet', 'Perfectly symmetrical and smooth shadows', 'Lack of imperfections or noise', 'Artificially uniform lighting']","The image appears AI-generated due to unnatural smoothness in textures, such as the wall and cabinet, and the lack of realistic imperfections or noise. The lighting and shadows are too uniform and perfect, which is uncommon in real photographs.",8.701952934265137,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_013.png,fake,0,False,0.09999999999999998,0.9
False,0.95,"['Inconsistent lighting and shadows around the figure', 'Flawless textures and unrealistic detail in flowers and clothing', 'Perspective and scale appear unnatural, especially with the giant perfume bottle', 'Background lacks depth and coherence with the main subject', 'Rose petals and pavement appear too perfect and stylized']","The image features several elements that suggest it is AI-generated. The lighting and shadows don't align naturally, and the textures are too perfect. The scale and perspective, particularly with the giant perfume bottle, are unrealistic. The background also lacks the depth you would expect in a real photograph, contributing further to the artificial feel of the image.",7.176455736160278,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_014.png,fake,0,False,0.050000000000000044,0.95
False,0.9,"['Unnatural consistency in lighting and shadows', 'Overly smooth textures on surfaces and plants', 'Perfectly clean and symmetrical lines in architecture', 'Soft, even lighting that lacks natural imperfections', 'Lush vegetation with uniform color and texture']","The image has highly consistent lighting and very smooth textures without typical imperfections found in real photographs. The architecture and vegetation are almost too perfect, lacking the randomness and complexity of real-world scenes. These elements suggest it is AI-generated.",10.506829023361206,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_050.png,fake,0,False,0.09999999999999998,0.9
True,0.95,"['Consistent lighting and shadows', 'Realistic skin texture and details', 'Coherent background with depth of field', 'Natural expression and posture', 'Authentic imperfections and noise']","The image exhibits characteristics typical of a real photograph, such as consistent lighting, realistic textures, and natural expressions. The background also has a depth of field effect that is common in real photos.",7.1561291217803955,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_018.png,fake,0,True,0.95,0.050000000000000044
True,0.95,"['Consistent lighting and shadows across the scene', 'Natural textures in the snow and ground', 'Realistic starry night sky with appropriate noise levels', 'Coherent and natural perspective and scale', 'No apparent artifacts or unnatural elements']","The image shows consistent lighting and natural textures, especially in the snow and landscape. The starry sky has a realistic noise pattern, and the overall perspective is coherent and consistent with a real photograph.",16.81082820892334,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_031.jpg,real,1,True,0.95,0.050000000000000044
True,0.95,"['Consistent and natural lighting and shadows', 'Detailed and realistic fabric texture', 'Background alignment and coherence', 'Lifelike skin texture', 'Proportionate and natural perspective']","The image exhibits consistent lighting and shadows, along with realistic textures in the fabric and skin. The background aligns with the positioning and scale of the subject, and there are no noticeable artifacts or unnatural elements that suggest AI generation. These elements strongly indicate a real photograph.",7.969616889953613,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_019.jpg,real,1,True,0.95,0.050000000000000044
False,0.85,"['Overall texture and grain appear artificially added', 'Facial details are blurred and lack realistic depth', 'Lighting and shadows are inconsistent', 'Clothing and props lack realistic texture', 'Background elements appear flat and unconvincing']","The image exhibits characteristics typical of AI-generated content, such as added grain to simulate age and inconsistency in lighting and textures. These factors suggest the image is likely AI-generated rather than a real photograph.",15.46979808807373,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/fake/fake_019.png,fake,0,False,0.15000000000000002,0.85
True,0.95,"['Consistent lighting and shadows on the skier and the snow.', 'Realistic texture and motion blur on the snow and trees.', 'Natural cloud formation and color gradients in the sky.', ""Realistic detail in the skier's clothing and equipment."", 'Perspective and scale appear natural and consistent.']","The image exhibits consistent lighting, natural textures, and realistic details that align with a genuine photograph. Motion blur and other elements appear well-integrated, indicating that the image is likely a real photo.",9.660792112350464,/Users/emreaktas/Desktop/01_Projects/Spring_2025/CSC_249/ai_vs_real_detector/data/real/real_039.jpg,real,1,True,0.95,0.050000000000000044
